Sample,SOURCE,SITE,MARBLE GROUP,SELECT,MGS,d18O,d13C
v12,DBPens,Penteli,Penteli,,0.60,-3.98,2.58
v22,DBPens,Penteli,Penteli,,0.70,-5.18,2.37
v44,DBPens,Penteli,Penteli,,0.80,-3.89,2.57
v87,DBPens,Penteli,Penteli,,0.80,-3.78,2.55
n94,DBPens2,Penteli,Penteli,,0.70,-7.95,2.54
n98,DBPens2,Penteli,Penteli,,0.90,-7.75,2.68
I1,Pens5/97,Penteli,Penteli,,0.80,-6.52,2.86
I2,Pens5/97,Penteli,Penteli,,0.70,-4.96,2.98
I3,Pens5/97,Penteli,Penteli,,0.80,-5.52,1.95
S1,Pens5/97,Penteli,Penteli,,0.80,-8.19,3.02
S2,Pens5/97,Penteli,Penteli,,0.90,-8.10,2.93
S4,Pens5/97,Penteli,Penteli,,0.80,-6.74,3.53
S5,Pens5/97,Penteli,Penteli,,0.80,-6.55,4.05
K1,Pens5/97,Penteli,Penteli,,0.60,-4.32,2.54
K2,Pens5/97,Penteli,Penteli,,0.80,-5.53,2.17
K3,Pens5/97,Penteli,Penteli,,0.80,-4.50,2.51
K4,Pens5/97,Penteli,Penteli,,0.90,-5.04,2.22
K5,Pens5/97,Penteli,Penteli,,0.90,-5.70,2.41
K5a,Pens5/97,Penteli,Penteli,,0.70,-5.97,2.33
K6,Pens5/97,Penteli,Penteli,,0.80,-5.87,2.29
K7,Pens5/97,Penteli,Penteli,,0.80,-5.93,2.41
SL11,CNRnov97,Penteli,Penteli,,0.90,-8.97,2.46
SL13,CNRnov97,Penteli,Penteli,,0.90,-8.21,2.70
SL14,CNRnov97,Penteli,Penteli,,1.00,-7.91,2.96
SL15,CNRnov97,Penteli,Penteli,,1.20,-8.13,3.72
SL16,CNRnov97,Penteli,Penteli,,0.80,-7.71,2.81
SL17,CNRnov97,Penteli,Penteli,,1.00,-8.25,2.99
SL18,CNRnov97,Penteli,Penteli,,1.40,-8.00,3.00
SL21,CNRnov97,Penteli,Penteli,,1.00,-7.81,3.92
SL22,CNRnov97,Penteli,Penteli,,1.20,-6.87,3.93
SL23,CNRnov97,Penteli,Penteli,,1.20,-7.06,3.47
SL24,CNRnov97,Penteli,Penteli,,1.20,-7.79,2.50
SML11,CNRnov97,Penteli,Penteli,,0.90,-5.22,2.40
SML12,CNRnov97,Penteli,Penteli,,1.10,-7.57,2.60
SML13,CNRnov97,Penteli,Penteli,,1.50,-7.49,2.61
SML14,CNRnov97,Penteli,Penteli,,1.00,-5.90,2.48
SML21,CNRnov97,Penteli,Penteli,,0.80,-6.10,3.79
SML22,CNRnov97,Penteli,Penteli,,1.00,-5.61,2.67
SML23,CNRnov97,Penteli,Penteli,,1.00,-5.56,2.66
SML24,CNRnov97,Penteli,Penteli,,0.90,-5.46,2.48
SML31,CNRnov97,Penteli,Penteli,,0.90,-7.03,3.04
SML32,CNRnov97,Penteli,Penteli,,1.00,-4.49,2.86
SML33,CNRnov97,Penteli,Penteli,,0.90,-5.58,2.83
SML34,CNRnov97,Penteli,Penteli,,1.20,-7.19,3.08
SML41,CNRnov97,Penteli,Penteli,,1.00,-6.98,2.58
SML42,CNRnov97,Penteli,Penteli,,1.20,-8.26,2.90
SMH11,CNRnov97,Penteli,Penteli,,1.20,-6.67,2.70
SMH12,CNRnov97,Penteli,Penteli,,0.90,-6.40,2.70
SMH13,CNRnov97,Penteli,Penteli,,1.20,-7.30,2.61
SMH14,CNRnov97,Penteli,Penteli,,1.80,-4.88,2.56
SMH15,CNRnov97,Penteli,Penteli,,1.00,-7.35,2.38
SMH17,CNRnov97,Penteli,Penteli,,0.80,-6.67,2.50
SMH18,CNRnov97,Penteli,Penteli,,1.00,-7.42,2.63
SMH19,CNRnov97,Penteli,Penteli,,1.00,-7.30,2.56
SMH22,CNRnov97,Penteli,Penteli,,0.90,-7.52,2.54
SMH24,CNRnov97,Penteli,Penteli,,0.90,-8.20,2.53
SMH25,CNRnov97,Penteli,Penteli,,1.20,-8.45,2.29
SMH26,CNRnov97,Penteli,Penteli,,1.00,-7.59,2.62
SMH27,CNRnov97,Penteli,Penteli,,1.00,-8.03,2.45
SMH28,CNRnov97,Penteli,Penteli,,1.20,-7.74,2.70
SMH29,CNRnov97,Penteli,Penteli,,1.20,-8.17,2.52
SMH210,CNRnov97,Penteli,Penteli,,1.20,-8.30,2.39
SMH211,CNRnov97,Penteli,Penteli,,1.30,-8.13,2.58
SMH213,CNRnov97,Penteli,Penteli,,0.90,-7.45,2.46
SMH214,CNRnov97,Penteli,Penteli,,1.20,-7.24,2.43
SMH215,CNRnov97,Penteli,Penteli,,0.90,-6.53,2.34
SMH216,CNRnov97,Penteli,Penteli,,1.20,-8.46,2.40
SMH217,CNRnov97,Penteli,Penteli,,0.90,-6.11,2.60
SMH218,CNRnov97,Penteli,Penteli,,0.80,-8.40,2.42
SMH220,CNRnov97,Penteli,Penteli,,1.10,-7.66,2.47
SMH221,CNRnov97,Penteli,Penteli,,0.90,-8.47,2.38
SH2,CNRnov97,Penteli,Penteli,,0.90,-6.16,2.75
SH3,CNRnov97,Penteli,Penteli,,1.00,-7.00,2.41
SH4,CNRnov97,Penteli,Penteli,,1.20,-7.73,2.38
SH5,CNRnov97,Penteli,Penteli,,1.00,-8.24,2.13
SH6,CNRnov97,Penteli,Penteli,,1.20,-7.69,2.39
SH7,CNRnov97,Penteli,Penteli,,1.00,-7.08,2.31
Pe1.1,CNRgiu02,Penteli,Penteli,,1.10,-8.08,2.67
Pe1.2,CNRgiu02,Penteli,Penteli,,0.90,-3.98,2.44
Pe1.3,CNRgiu02,Penteli,Penteli,,1.10,-7.90,2.67
Pe1.4,CNRgiu02,Penteli,Penteli,,0.90,-9.01,2.52
Pe1.5,CNRgiu02,Penteli,Penteli,,1.00,-7.96,2.37
Pe1.6,CNRgiu02,Penteli,Penteli,,1.10,-5.96,2.69
Pe2.1,CNRgiu02,Penteli,Penteli,,1.00,-7.47,2.57
Pe2.2,CNRgiu02,Penteli,Penteli,,0.90,-7.68,2.70
Pe2.3,CNRgiu02,Penteli,Penteli,,0.80,-6.87,2.51
Pe2.4,CNRgiu02,Penteli,Penteli,,1.10,-7.52,3.89
Pe2.5,CNRgiu02,Penteli,Penteli,,0.90,-7.53,4.09
Pe2.6,CNRgiu02,Penteli,Penteli,,1.00,-6.74,3.83
Pe2.7,CNRgiu02,Penteli,Penteli,,1.00,-7.52,2.59
Pe2.8,CNRgiu02,Penteli,Penteli,,0.90,-7.26,3.33
Pe2.9,CNRgiu02,Penteli,Penteli,,1.00,-8.07,2.46
Pe3.1,CNRgiu02,Penteli,Penteli,,0.90,-7.82,2.31
Pe3.2,CNRgiu02,Penteli,Penteli,,0.90,-6.69,2.69
Pe3.3,CNRgiu02,Penteli,Penteli,,1.00,-7.80,2.40
Pe3.4,CNRgiu02,Penteli,Penteli,,0.80,-7.62,2.48
Pe5.1,CNRgiu02,Penteli,Penteli,,0.80,-7.67,2.55
Pe5.2,CNRgiu02,Penteli,Penteli,,0.80,-8.53,2.33
Pe5.3,CNRgiu02,Penteli,Penteli,,0.90,-8.35,2.56
Pe5.4,CNRgiu02,Penteli,Penteli,,0.90,-7.64,2.35
Pe5.5,CNRgiu02,Penteli,Penteli,,0.80,-7.67,2.34
Pe5.6,CNRgiu02,Penteli,Penteli,,0.90,-7.99,2.45
Pe5.7,CNRgiu02,Penteli,Penteli,,0.70,-7.20,2.53
Pe5.8,CNRgiu02,Penteli,Penteli,,0.70,-8.01,2.49
Pe5.9,CNRgiu02,Penteli,Penteli,,1.00,-8.10,2.48
Pe5.10,CNRgiu02,Penteli,Penteli,,1.10,-8.48,2.35
Pe5.11,CNRgiu02,Penteli,Penteli,,0.90,-7.44,2.44
Pe5.12,CNRgiu02,Penteli,Penteli,,1.10,-7.67,2.53
Pe7.1,CNRgiu02,Penteli,Penteli,,0.90,-7.51,2.65
Pe7.2,CNRgiu02,Penteli,Penteli,,1.00,-8.15,2.48
Pe7.4,CNRgiu02,Penteli,Penteli,,1.00,-5.69,2.33
Pe8.1,CNRgiu02,Penteli,Penteli,,0.90,-7.70,2.43
Pe8.2,CNRgiu02,Penteli,Penteli,,0.90,-7.11,2.57
Pe8.3,CNRgiu02,Penteli,Penteli,,1.10,-7.14,2.76
Pe8.4,CNRgiu02,Penteli,Penteli,,0.90,-8.09,2.66
Pe8.5,CNRgiu02,Penteli,Penteli,,0.70,-6.70,2.77
Pe8.6,CNRgiu02,Penteli,Penteli,,1.00,-8.56,2.51
Pe8.7,CNRgiu02,Penteli,Penteli,,0.80,-7.36,2.57
Pe8.8,CNRgiu02,Penteli,Penteli,,0.90,-7.75,2.47
Pe8.9,CNRgiu02,Penteli,Penteli,,1.10,-8.30,2.41
Pe8.10,CNRgiu02,Penteli,Penteli,,0.90,-7.88,2.38
Pe10.1,CNRgiu02,Penteli,Penteli,,1.00,-6.99,2.47
Pe10.2,CNRgiu02,Penteli,Penteli,,0.90,-6.92,2.71
Pe10.3,CNRgiu02,Penteli,Penteli,,0.90,-7.34,2.85
Pe10.4,CNRgiu02,Penteli,Penteli,,1.10,-6.76,2.70
Pe10.5,CNRgiu02,Penteli,Penteli,,1.20,-7.56,2.58
Pe10.6,CNRgiu02,Penteli,Penteli,,1.00,-8.62,2.34
Pe10.7,CNRgiu02,Penteli,Penteli,,0.80,-7.79,2.53
Pe10.8,CNRgiu02,Penteli,Penteli,,0.90,-5.01,2.33
Pe10.9,CNRgiu02,Penteli,Penteli,,0.90,-8.09,2.48
Pe10.10,CNRgiu02,Penteli,Penteli,,1.00,-7.19,2.46
Pe10.11,CNRgiu02,Penteli,Penteli,,1.30,-8.05,2.62
Pe10.12,CNRgiu02,Penteli,Penteli,,1.10,-5.08,2.20
Pe12.1,CNRgiu02,Penteli,Penteli,,0.80,-5.24,2.38
Pe12.2,CNRgiu02,Penteli,Penteli,,0.70,-4.65,2.50
Pe12.3,CNRgiu02,Penteli,Penteli,,0.80,-4.08,2.44
Pe12.4,CNRgiu02,Penteli,Penteli,,0.80,-4.11,2.70
Pe12.5,CNRgiu02,Penteli,Penteli,,0.80,-6.62,2.52
Pe12.6,CNRgiu02,Penteli,Penteli,,0.80,-5.48,2.30
Pe12.7,CNRgiu02,Penteli,Penteli,,0.70,-5.56,2.40
Pe43.1,CNRgiu02,Penteli,,,0.90,-6.64,1.92
Pe43.2,CNRgiu02,Penteli,,,0.60,-5.85,1.63
Pe43.3,CNRgiu02,Penteli,,,0.80,-5.71,1.87
Pe43.4,CNRgiu02,Penteli,,,0.70,-5.61,1.79
Pe43.5,CNRgiu02,Penteli,,,0.50,-4.94,1.66
Pe43.6,CNRgiu02,Penteli,,,0.90,-5.46,1.30
Pe43.7,CNRgiu02,Penteli,,,0.80,-5.42,1.85
Pe129.1,CNRgiu02,Penteli,Penteli,,1.10,-6.45,2.75
Pe129.2,CNRgiu02,Penteli,Penteli,,1.20,-5.09,2.52
Pe129.3,CNRgiu02,Penteli,Penteli,,1.00,-5.49,2.62
Pe129.4,CNRgiu02,Penteli,Penteli,,0.90,-7.20,1.88
Pe129.5,CNRgiu02,Penteli,Penteli,,0.90,-6.84,2.72
Pe129.6,CNRgiu02,Penteli,Penteli,,1.30,-5.14,2.58
Pe129.7,CNRgiu02,Penteli,Penteli,,0.90,-6.59,2.48
Pe129.8,CNRgiu02,Penteli,Penteli,,1.00,-6.13,2.74
Pe130.1,CNRgiu02,Penteli,Penteli,,0.80,-7.64,3.02
Pe130.2,CNRgiu02,Penteli,Penteli,,1.30,-7.99,2.60
Pe130.3,CNRgiu02,Penteli,Penteli,,0.60,-8.37,2.44
Pe130.4,CNRgiu02,Penteli,Penteli,,0.70,-8.65,2.90
Pe130.5,CNRgiu02,Penteli,Penteli,,0.80,-6.99,2.30
Pe130.6,CNRgiu02,Penteli,Penteli,,0.70,-8.50,2.36
OC13_1,CNR10/99,Proconn,Pro,,1.80,-2.24,2.38
OC13_2,CNR10/99,Proconn,Pro,,1.95,-2.32,2.25
OC13_3,CNR10/99,Proconn,Pro,,2.60,-2.74,2.58
OC13_4,CNR10/99,Proconn,Pro,,1.85,-1.49,2.44
OC13_5,CNR10/99,Proconn,Pro,,2.45,-3.07,1.95
OC13_6,CNR10/99,Proconn,Pro,,1.55,-1.89,1.89
OC13_7,CNR10/99,Proconn,Pro,,1.80,-2.14,2.24
OC13_8,CNR10/99,Proconn,Pro,,2.20,-1.39,2.36
OC13_9,CNR10/99,Proconn,Pro,,1.90,-1.50,2.47
OC13_10,CNR10/99,Proconn,Pro,,1.80,-3.29,2.64
OC13_11,CNR10/99,Proconn,Pro,,3.25,-1.60,2.90
OC13_12,CNR10/99,Proconn,Pro,,2.90,-2.33,2.04
OC13_13,CNR10/99,Proconn,Pro,,2.20,-3.32,2.80
OC13_14,CNR10/99,Proconn,Pro,,1.70,-3.60,2.64
Fi1,CNR10/99,Proconn,Pro,,1.40,-1.21,1.81
Fi2,CNR10/99,Proconn,Pro,,1.93,-3.03,2.53
Fi3,CNR10/99,Proconn,Pro,,1.80,-1.79,2.29
Fi4,CNR10/99,Proconn,Pro,,2.50,-2.58,2.53
Fi5,CNR10/99,Proconn,Pro,,2.50,-1.93,2.01
Fi6,CNR10/99,Proconn,Pro,,2.50,-0.78,2.29
Fi7,CNR10/99,Proconn,Pro,,2.55,-2.04,1.80
Fi8,CNR10/99,Proconn,Pro,,2.28,-1.38,2.61
Fi9,CNR10/99,Proconn,Pro,,2.50,-1.35,2.84
Fi10,CNR10/99,Proconn,Pro,,2.50,-2.27,2.65
Fi11,CNR10/99,Proconn,Pro,,2.80,-1.71,2.07
HA1,CNR10/99,Proconn,Pro,,0.80,-0.78,2.73
HA2,CNR10/99,Proconn,Pro,,1.50,-0.58,2.23
HA3,CNR10/99,Proconn,Pro,,1.60,-0.65,2.54
HA4,CNR10/99,Proconn,Pro,,1.10,-0.33,2.29
HA5,CNR10/99,Proconn,Pro,,1.10,-1.85,2.31
HA6,CNR10/99,Proconn,Pro,,1.80,-1.92,2.58
HA7,CNR10/99,Proconn,Pro,,2.20,-0.74,2.30
HA8,CNR10/99,Proconn,Pro,,1.40,-0.91,2.75
HA9,CNR10/99,Proconn,Pro,,1.30,-0.38,2.44
HA10,CNR10/99,Proconn,Pro,,1.80,-1.56,2.19
PA1,CNR10/99,Proconn,Pro,,1.60,-0.68,2.60
PA2,CNR10/99,Proconn,Pro,,1.80,-0.69,2.21
PA3,CNR10/99,Proconn,Pro,,1.80,-2.19,2.45
PAsin,CNR10/99,Proconn,Pro,,2.10,-0.77,2.53
OC140_1,CNR10/99,Proconn,Pro,,0.70,-1.83,2.62
OC140_2,CNR10/99,Proconn,Pro,,1.80,-0.96,2.39
OBG1,CNR10/99,Proconn,Pro,,2.10,-1.00,2.57
OBG2,CNR10/99,Proconn,Pro,,1.40,-0.63,2.48
OBGS1,CNR10/99,Proconn,Pro,,1.80,-0.99,2.62
OBGS2,CNR10/99,Proconn,Pro,,1.40,-0.68,2.52
OBGS3,CNR10/99,Proconn,Pro,,1.30,-0.82,2.39
OBGS4,CNR10/99,Proconn,Pro,,1.70,-0.83,2.60
CO1,CNR10/99,Proconn,Pro,,1.80,-0.52,2.55
CO2,CNR10/99,Proconn,Pro,,2.00,-1.09,2.41
PRO1,CNR10/99,Proconn,Pro,,0.65,-3.40,1.63
PRO2,CNR10/99,Proconn,Pro,,1.40,-2.85,2.24
PRO3,CNR10/99,Proconn,Pro,,1.80,-1.67,2.94
PRO4,CNR10/99,Proconn,Pro,,2.30,-2.77,3.05
PRO5,CNR10/99,Proconn,Pro,,1.10,-1.89,2.96
PRO6,CNR10/99,Proconn,Pro,,2.40,-2.53,2.19
PRO7,CNR10/99,Proconn,Pro,,2.10,-2.30,2.28
PRO9,CNR10/99,Proconn,Pro,,2.00,-3.86,2.66
PRO10,CNR10/99,Proconn,Pro,,1.50,-2.89,2.45
PRO11,CNR10/99,Proconn,Pro,,2.00,-1.38,2.53
PRO12,CNR10/99,Proconn,Pro,,2.50,-3.48,2.60
PRO13,CNR10/99,Proconn,Pro,,2.40,-1.94,2.58
PRO14,CNR10/99,Proconn,Pro,,1.80,-1.94,1.73
PRO15,CNR10/99,Proconn,Pro,,1.50,-2.02,2.82
PRO16,CNR10/99,Proconn,Pro,,2.00,-2.70,3.12
PRO17,CNR10/99,Proconn,Pro2,,2.50,-6.40,3.21
PRO18,CNR10/99,Proconn,Pro,,2.10,-2.84,2.82
PRO19,CNR10/99,Proconn,Pro,,1.80,-2.70,2.83
PRO20,CNR10/99,Proconn,Pro,,2.00,-3.16,2.25
PRO22,CNR10/99,Proconn,Pro2,,1.70,-5.53,2.51
PRO23,CNR10/99,Proconn,Pro,,2.00,-2.35,3.11
PRO24,CNR10/99,Proconn,Pro,,0.60,-1.79,2.60
PRO25,CNR10/99,Proconn,Pro,,1.80,-1.60,3.00
PRO26,CNR10/99,Proconn,Pro,,2.00,-0.92,3.24
cor30,CNR10/99,Proconn,Pro,,0.70,-1.81,1.96
cor31,CNR10/99,Proconn,Pro,,1.50,-1.64,3.07
cor32,CNR10/99,Proconn,Pro,,1.40,-2.12,2.75
cor33,CNR10/99,Proconn,Pro,,2.00,-1.19,2.97
cor34,CNR10/99,Proconn,Pro,,2.00,-0.96,2.71
cor35,CNR10/99,Proconn,Pro,,1.40,-1.92,2.91
cor36,CNR10/99,Proconn,Pro,,0.40,-1.08,2.52
cor38,CNR10/99,Proconn,Pro,,1.80,-1.19,3.00
cor39,CNR10/99,Proconn,Pro,,2.00,-1.09,2.78
cor40,CNR10/99,Proconn,Pro,,1.70,-1.35,2.00
cor41,CNR10/99,Proconn,Pro,,1.90,-1.83,2.74
cor42,CNR10/99,Proconn,Pro,,1.80,-0.96,2.93
cor43,CNR10/99,Proconn,Pro,,2.40,-0.89,3.08
cor44,CNR10/99,Proconn,Pro,,2.00,-1.79,2.47
cor45,CNR10/99,Proconn,Pro,,1.70,-2.16,2.70
cor46,CNR10/99,Proconn,Pro,,1.80,-1.97,2.74
cor47,CNR10/99,Proconn,Pro,,1.60,-1.41,2.70
PRO1X,CNR10/99,Proconn,Pro,,2.50,-2.75,2.01
PRO2X,CNR10/99,Proconn,Pro,,0.80,-2.14,2.32
PRO4X,CNR10/99,Proconn,Pro,,2.00,-1.60,3.61
OC993_1,CNR10/99,Proconn,Pro,,2.30,-2.37,2.34
OC993_3,CNR10/99,Proconn,Pro,,1.00,-5.20,2.63
OC994_1,CNR10/99,Proconn,Pro,,0.90,-3.89,2.35
OC994_2,CNR10/99,Proconn,Pro,,1.00,-2.01,2.25
OC994_3,CNR10/99,Proconn,Pro,,2.00,-4.50,2.43
UF1,CNR10/99,Proconn,Pro,,2.10,-1.79,2.88
UF2,CNR10/99,Proconn,Pro,,2.50,-1.75,2.83
UF3,CNR10/99,Proconn,Pro,,2.40,-1.83,3.18
AKS1,CNR10/99,Proconn,Pro,,2.30,-0.79,2.53
AKS2,CNR10/99,Proconn,Pro,,2.10,-0.57,2.31
AKS3,CNR10/99,Proconn,Pro,,1.80,-0.54,2.40
AKS4,CNR10/99,Proconn,Pro,,2.00,-0.28,2.40
AKS5,CNR10/99,Proconn,Pro,,1.80,-0.64,2.70
AKS6,CNR10/99,Proconn,Pro,,2.60,-0.66,2.29
AKS7,CNR10/99,Proconn,Pro,,2.70,-0.74,2.60
AKS8,CNR10/99,Proconn,Pro,,1.80,-0.32,2.49
AKS9,CNR10/99,Proconn,Pro,,2.50,-2.82,2.45
AKS10,CNR10/99,Proconn,Pro,,1.80,-1.46,1.60
SU1,CNR10/99,Proconn,Pro,,2.20,-1.52,2.05
SU2,CNR10/99,Proconn,Pro,,0.90,-1.29,2.04
SU3,CNR10/99,Proconn,Pro,,2.50,-0.82,2.75
SU4,CNR10/99,Proconn,Pro,,3.50,-1.01,2.65
SU5,CNR10/99,Proconn,Pro,,2.40,-0.86,2.63
SU6,CNR10/99,Proconn,Pro,,2.50,-1.26,2.47
SU7,CNR10/99,Proconn,Pro,,2.90,-0.89,2.59
SU8,CNR10/99,Proconn,Pro,,2.60,-1.15,2.45
SU9,CNR10/99,Proconn,Pro,,2.10,-1.77,2.16
SU10,CNR10/99,Proconn,Pro,,3.00,-0.80,2.57
SU11,CNR10/99,Proconn,Pro,,2.60,-1.32,2.17
SU12,CNR10/99,Proconn,Pro,,1.90,-1.12,2.49
SU13,CNR10/99,Proconn,Pro,,2.00,-1.43,2.10
SU14,CNR10/99,Proconn,Pro,,2.30,-1.18,2.53
SU15,CNR10/99,Proconn,Pro,,2.20,-1.50,1.58
SU16,CNR10/99,Proconn,Pro,,2.40,-1.02,2.70
SU17,CNR10/99,Proconn,Pro,,2.00,-1.07,2.52
SU18,CNR10/99,Proconn,Pro,,2.20,-1.42,2.38
MDl1,CNR10/99,Proconn,Pro,,3.50,-0.94,2.76
MDl2,CNR10/99,Proconn,Pro,,0.80,-1.27,1.50
MDl3,CNR10/99,Proconn,Pro,,1.70,-0.95,2.94
MDl4,CNR10/99,Proconn,Pro,,2.30,-1.02,2.68
MDl5,CNR10/99,Proconn,Pro,,1.80,-1.28,2.80
MDl6,CNR10/99,Proconn,Pro,,2.10,-1.90,2.61
MDl7,CNR10/99,Proconn,Pro,,2.20,-1.92,2.70
MDl8,CNR10/99,Proconn,Pro,,1.30,-1.37,2.70
MDh1,CNR10/99,Proconn,Pro,,2.80,-0.93,2.97
MDh2,CNR10/99,Proconn,Pro2,,2.10,-6.57,2.25
MDh3,CNR10/99,Proconn,Pro,,2.20,-1.72,2.93
MDh4,CNR10/99,Proconn,Pro,,2.00,-0.77,2.80
MDh5,CNR10/99,Proconn,Pro,,1.90,-2.02,2.56
MDh6,CNR10/99,Proconn,Pro,,1.40,-1.83,2.53
MDh7,CNR10/99,Proconn,Pro,,1.80,-4.79,2.72
MDh8,CNR10/99,Proconn,Pro,,2.00,-0.84,2.80
MDh9,CNR10/99,Proconn,Pro,,2.40,-0.89,3.12
MDh10,CNR10/99,Proconn,Pro,,2.50,-0.96,2.95
OC61,CNR10/99,Proconn,Pro,,1.40,-2.22,2.21
SA1,CNR10/99,Proconn,Pro,,1.70,-3.57,3.25
SA2,CNR10/99,Proconn,Pro,,2.30,-2.58,3.21
SA3,CNR10/99,Proconn,Pro,,1.10,-2.60,2.56
SA4,CNR10/99,Proconn,Pro,,2.50,-2.04,2.84
SA5,CNR10/99,Proconn,Pro,,2.10,-2.45,2.62
SA6,CNR10/99,Proconn,Pro,,2.30,-4.39,2.39
Sa7,CNR10/99,Proconn,Pro,,1.80,-3.23,3.26
SA8,CNR10/99,Proconn,Pro,,1.60,-2.23,3.37
SA9,CNR10/99,Proconn,Pro,,2.40,-3.09,3.01
SA10,CNR10/99,Proconn,Pro,,2.50,-2.73,3.01
C1.3,CNR09/04,Proconn,Pro,,1.90,-2.76,1.92
C1.4,CNR09/04,Proconn,Pro,,2.10,-3.01,3.02
C1.5,CNR09/04,Proconn,Pro,,1.70,-3.82,1.00
C1.6,CNR09/04,Proconn,Pro,,1.40,-2.47,2.54
C1.7,CNR09/04,Proconn,Pro,,2.00,-2.37,2.48
C1.8,CNR09/04,Proconn,Pro,,1.80,-1.98,1.54
C1.9,CNR09/04,Proconn,Pro,,1.70,-2.09,3.22
C1.11,CNR09/04,Proconn,Pro,,2.00,-2.33,3.16
C1.12,CNR09/04,Proconn,Pro,,1.90,-2.74,2.48
C1.13,CNR09/04,Proconn,Pro,,1.80,-1.41,3.09
C1.14,CNR09/04,Proconn,Pro,,1.50,-1.66,3.01
C1.16,CNR09/04,Proconn,Pro,,1.80,-1.31,3.46
C1.16b,CNR09/04,Proconn,Pro,,1.50,-1.72,3.16
C1.17,CNR09/04,Proconn,Pro,,1.60,-1.96,2.98
C1.18,CNR09/04,Proconn,Pro,,1.50,-1.58,3.14
C1.18b,CNR09/04,Proconn,Pro,,1.80,-2.03,2.82
C1.20,CNR09/04,Proconn,Pro,,1.60,-2.19,2.71
C1.21,CNR09/04,Proconn,Pro,,1.90,-1.73,2.84
C1.22,CNR09/04,Proconn,Pro,,1.60,-1.47,3.19
C1.23,CNR09/04,Proconn,Pro,,2.00,-3.23,1.88
C2.1s,CNR09/04,Proconn,Pro,,1.90,-1.91,2.25
C2.2s,CNR09/04,Proconn,Pro,,1.90,-2.14,3.17
C2.3s,CNR09/04,Proconn,Pro,,1.60,-2.15,3.00
C2.4s,CNR09/04,Proconn,Pro,,1.80,-2.36,2.58
C2.5s,CNR09/04,Proconn,Pro,,1.80,-2.62,3.11
C2.6s,CNR09/04,Proconn,Pro,,2.10,-2.53,2.85
C2.7s,CNR09/04,Proconn,Pro,,1.80,-3.15,2.80
C2.8s,CNR09/04,Proconn,Pro,,1.70,-2.18,2.96
C2.9s,CNR09/04,Proconn,Pro,,1.50,-1.88,3.01
C2.1d,CNR09/04,Proconn,Pro,,2.10,-3.09,3.19
C2.2d,CNR09/04,Proconn,Pro,,2.20,-4.45,1.83
C2.3d,CNR09/04,Proconn,Pro,,1.90,-3.26,2.14
C2.4d,CNR09/04,Proconn,Pro,,1.90,-1.86,2.80
C3.1s,CNR09/04,Proconn,Pro,,1.60,-3.07,2.52
C3.2s,CNR09/04,Proconn,Pro,,1.80,-2.25,3.49
C3.3s,CNR09/04,Proconn,Pro,,1.50,-2.17,3.16
C3.4s,CNR09/04,Proconn,Pro,,1.80,-2.50,3.23
C3.5s,CNR09/04,Proconn,Pro,,2.40,-2.16,2.56
C3.6s,CNR09/04,Proconn,Pro,,1.80,-1.50,3.04
C4.1,CNR09/04,Proconn,Pro,,1.20,-4.27,2.65
C4.2,CNR09/04,Proconn,Pro,,1.80,-4.49,3.15
C4.3,CNR09/04,Proconn,Pro,,1.80,-3.19,2.73
C4.4,CNR09/04,Proconn,Pro,,1.90,-2.79,3.22
C4.col1,CNR09/04,Proconn,Pro,,0.60,-2.30,1.83
C4.col2,CNR09/04,Proconn,Pro,,0.70,-1.81,2.07
C5.1s,CNR09/04,Proconn,Pro2,,1.50,-8.62,2.26
C5.2,CNR09/04,Proconn,Pro,,1.90,-4.44,2.90
C5.3,CNR09/04,Proconn,Pro2,,1.30,-9.12,2.50
C5.4,CNR09/04,Proconn,Pro2,,1.90,-6.46,2.92
C5.5,CNR09/04,Proconn,Pro2,,2.10,-8.48,2.80
C5.6,CNR09/04,Proconn,Pro2,,1.20,-6.29,2.68
C5.7,CNR09/04,Proconn,Pro,,2.00,-4.96,2.35
C5.8,CNR09/04,Proconn,Pro,,1.90,-4.37,2.43
C5.9,CNR09/04,Proconn,Pro,,2.00,-3.65,3.44
C5.10,CNR09/04,Proconn,Pro,,1.70,-4.82,2.13
C5.11,CNR09/04,Proconn,Pro,,1.30,-4.79,2.67
C5b.12,CNR09/04,Proconn,Pro,,1.40,-1.88,2.61
C5b.13,CNR09/04,Proconn,Pro,,1.90,-1.51,3.29
C5b.14,CNR09/04,Proconn,Pro,,2.10,-1.42,3.19
C5b.15,CNR09/04,Proconn,Pro,,1.60,-1.95,1.70
C5t.1,CNR09/04,Proconn,Pro,,1.80,-1.91,2.51
C5t.2,CNR09/04,Proconn,Pro,,2.10,-1.58,2.52
C5t.3,CNR09/04,Proconn,Pro,,1.60,-3.04,2.70
C5t.4,CNR09/04,Proconn,Pro,,1.80,-2.31,3.16
C6.1,CNR09/04,Proconn,Pro,,1.70,-2.56,2.73
C6.2,CNR09/04,Proconn,Pro,,0.60,-2.14,3.20
C6.3,CNR09/04,Proconn,Pro2,,1.40,-5.97,2.33
C6.4,CNR09/04,Proconn,Pro,,1.70,-1.31,2.88
C6.5,CNR09/04,Proconn,Pro,,1.90,-1.37,3.02
C6.6,CNR09/04,Proconn,Pro,,0.80,-1.78,2.21
C6.7,CNR09/04,Proconn,Pro,,0.70,-2.01,1.47
